Fund_Name,Fund_Type,Monthly_Alpha (%),Annualized_Alpha (%),Beta_Market,Beta_SMB,Beta_HML,Beta_WML,R2,Alpha_tStat,Alpha_pValue,Num_Observations
JM Large Cap Fund - Direct Plan,Active,0.0037924432695986554,0.04551881296843696,0.7487842946328551,-0.10320493508188888,0.017969547300339117,0.01253961734843509,0.7879994534262782,0.023965747869814077,0.9808799300953237,155
Kotak Large Cap Fund - Direct Plan,Active,0.18865331571793748,2.287477578114361,0.9561075278545945,-0.07436713821264403,-0.06724485537217789,-0.10723541420590312,0.8761423766474313,1.223269040786841,0.22122809638913044,155
LIC MF Large Cap Fund - Direct Plan,Active,0.04312186563276345,0.5186914202689019,0.919519537754915,-0.07265410381640604,-0.10093226678148412,-0.059549927946780885,0.824102785426861,0.26671260763712235,0.7896904459658491,155
Mahindra Manulife Large Cap Fund - Direct Plan,Active,0.09526909200127628,1.1492384597714178,0.8704589724067614,-0.15073288246639113,0.0336580489336695,-0.13366794146153174,0.8851977123614807,0.4723897560731628,0.636648614891506,81
Mirae Asset Large Cap Fund - Direct Plan,Active,0.27919559001307914,3.4022760121168005,0.9270546266574964,-0.022368122384934023,-0.040137565387526074,-0.09932681514564044,0.8839710377068697,2.0121539644963353,0.044203709547193576,155
Motilal Oswal Large Cap Fund - Direct Plan,Active,1.1435908739644804,14.62000380489885,0.7506497605218452,0.018992143216549427,-0.1107754844253797,0.08782455430739475,0.8482052399546804,3.07570902201368,0.002100026762587536,22
Nippon India Large Cap Fund - Direct Plan,Active,0.30232671398766553,3.688857603128226,0.9429783972640728,0.004164854716980963,0.02768774214932595,-0.15082969028658022,0.8460153686876117,1.808485918319755,0.07053090650557231,155
PGIM India Large Cap Fund - Direct Plan,Active,0.11388893797451957,1.375260493450714,0.8968621384844861,-0.12016332626418152,-0.09451718953449353,-0.17089999377904613,0.861620213841078,0.689034363667291,0.4908016428666031,117
Quant Focused Fund - Direct Plan,Active,0.18226680100576484,2.2092613558530205,0.8782581960565072,0.035702533357314596,0.08051314991695105,0.00716037135471375,0.8080437596271905,1.0708158367012384,0.2842522446789535,155
Quant Large Cap Fund - Direct Plan,Active,-0.06808596353728633,-0.8139789346292003,0.9053057857533833,-0.1135755752649012,0.13765706252022744,0.01055525823597006,0.9100280045553374,-0.2757274009294012,0.7827574482391852,40
SBI Large Cap Fund - Direct Plan,Active,0.28173933879269286,3.4337560548461488,0.9047402074425035,-0.044828498546034753,-0.055518595828235096,-0.13848100289742665,0.8564030959274304,1.8281992301710361,0.0675196565236328,155
Sundaram Large Cap Fund - Direct Plan,Active,0.15980845117401093,1.9346470956179918,0.8009055434171488,-0.1790863294584208,-0.025125114426145175,-0.08253768177683843,0.8527395369249318,0.8104263882160405,0.41769515664206347,62
Tata Large Cap Fund - Direct Plan,Active,0.07549584050476627,0.9097213191836762,0.932876732290477,-0.06726136355927903,-0.021752341654740843,-0.06957159530588064,0.8654990089888919,0.5329937967842059,0.5940378743711253,155
Taurus Large Cap Fund - Direct Plan,Active,-0.23696098085704018,-2.806763601793616,0.9979511547469638,-0.05233009190077538,-0.03588105428456308,-0.035061074366596605,0.8840485940959758,-1.58593945579084,0.11275304435511573,155
UTI Large Cap Fund - Direct Plan,Active,0.12457113784888174,1.5051381607596337,0.9287608577567383,-0.07746316831479716,-0.07265200098943406,-0.10410057278348343,0.8754936562227316,0.870942260492627,0.38378568042500727,155
Union Largecap Fund - Direct Plan,Active,-0.022755832689692793,-0.2727284849548095,0.8918534480077485,-0.1181169389254554,-0.046084275333457506,-0.16182224075986804,0.8810958296590451,-0.13803514505314254,0.8902126416653284,103
WhiteOak Capital Large Cap Fund - Direct Plan,Active,0.6796111731678527,8.467181564572911,0.8222961359143393,-0.12858180696820232,-0.2526372108112175,-0.01282038840952393,0.9283480144779742,3.2669004624491347,0.0010873190314866364,36
Aditya Birla Sun Life Nifty 50 ETF,Passive,-0.3133057314674995,-3.6955547074761452,0.9982280647911356,-0.25357348680493724,-0.06908334836894933,-0.20264904183404361,0.31024686711458216,-0.6516508728781149,0.5146264214180407,173
Aditya Birla Sun Life Nifty 50 Index Fund - Direct Plan,Passive,0.054458327291847575,0.6554608532379103,0.9599260980094189,-0.17386110048967673,-0.0674610571782702,-0.143962629838048,0.8795465389756275,0.3679589559699331,0.7129038387674645,155
Axis Nifty 50 ETF,Passive,-0.4461022102022068,-5.22381542359307,0.37697581208054104,0.05089191614788968,0.3259377754567401,-0.3399312432400575,0.14343545550756054,-0.6606688274869273,0.5088247190288466,101
Axis Nifty 50 Index Fund - Direct Plan,Passive,0.23165372196189127,2.8155374586963156,0.8105877910311963,-0.22502259829483207,-0.0806172631636682,-0.14598598743848507,0.8826900799160033,1.1616423454108153,0.2453807738755336,48
Bandhan Nifty 50 Index Fund - Direct Plan,Passive,0.07646190124134339,0.921411305210218,0.96385462356334,-0.17243939718617327,-0.06920364667616818,-0.14456524427636877,0.8790196299146511,0.5145062231568834,0.6068981105857271,155
DSP Nifty 50 Index Fund - Direct Plan,Passive,0.11540529349257621,1.3936875561001427,0.9179323341156396,-0.17638743882413596,-0.04028826366054834,-0.2286878018004721,0.8907386101141811,0.5460127203082921,0.5850571933906344,82
Franklin India NSE Nifty 50 Index - Direct Plan,Passive,0.06243500075617778,0.7517981363077686,0.9599894669395805,-0.16942813932376716,-0.06867828797860923,-0.14091669170919785,0.8780420478844405,0.42225103679918674,0.672841792760156,155
HDFC BSE Sensex Index Fund - Direct Plan,Passive,0.13060273252057303,1.5785396126446694,0.953618177189189,-0.17459756160205342,-0.09948037238059368,-0.15144296042625158,0.8503223313003951,0.813129320281703,0.41614391753533164,155
HDFC NIFTY 50 ETF,Passive,0.26223480374970054,3.1926030053252674,0.8252791247056714,0.12728596071196913,-0.5781919540108729,-0.4918765358109336,0.20113815279669278,0.9407280351850873,0.34684424821095616,120
HDFC NIFTY 50 Index Fund - Direct Plan,Passive,0.09055516753714606,1.0920905377296286,0.96793348345803,-0.17004973182002192,-0.06935772845246865,-0.1448255234426087,0.8773884052589406,0.6012890268801331,0.5476474969214461,155
ICICI Prudential BSE Sensex ETF,Passive,0.10259197840725584,1.2380741265043627,0.8893626049580217,-0.16879660681181208,-0.053688721405716934,-0.08576283190699041,0.8964201487170803,0.6787479139450231,0.49729760142899737,236
ICICI Prudential BSE Sensex Index Fund - Direct Plan,Passive,0.2514102978624248,3.058991871275807,0.9059658022092875,-0.18221687379326637,-0.09559803111306374,-0.23712362994355846,0.8499631787003528,1.2338661829086872,0.21725277262072373,99
ICICI Prudential Nifty 50 ETF,Passive,0.06800255971022362,0.8190897151687082,0.9668101257836071,-0.1730394716218452,-0.05885775267245588,-0.14300334036667778,0.8793371487949845,0.4529414791038284,0.6505908816835306,153
ICICI Prudential Nifty 50 Index Fund - Direct Plan,Passive,0.13581456895476468,1.642004204333447,0.9493486557659783,-0.17209658884254997,-0.08020502265392547,-0.21182806667021065,0.88291078907891,0.8497175399862552,0.39548214432617357,123
Kotak Nifty 50 ETF,Passive,-0.16933818377413085,-2.0132388504020104,0.9423437760521387,-0.12877596935950064,-0.217358340576433,-0.18967550832017796,0.26482448615020115,-0.4928422378727008,0.6221240635734018,190
Kotak Nifty 50 Index Fund - Direct Plan,Passive,0.2544379103939735,3.096346900223068,0.8230190345282893,-0.23264475515655053,-0.1016309364104723,-0.12081263521471106,0.8762517486903818,1.3211136091153461,0.1864634859772637,54
LIC MF BSE Sensex ETF,Passive,0.22594997217757812,2.745349979616174,0.9385370497183749,-0.1707777511417226,-0.11280775401851295,-0.2261402887474738,0.8522198646060446,1.2267863163722736,0.21990291518579286,120
LIC MF Nifty 50 ETF,Passive,0.16824461749574393,2.03772270574043,0.9514070623690695,-0.17547748237642363,-0.07878780197843618,-0.2173488808066148,0.8837409555817168,1.0370743042528825,0.2997012294623733,121
Mirae Asset Nifty 50 ETF,Passive,0.1173741298040504,1.4176178393487282,0.9258654822896051,-0.17497602508773208,-0.04238770320357902,-0.22125158569982936,0.8888244687407816,0.578153513770456,0.5631604803523029,85
Motilal Oswal Nifty 50 Index Fund - Direct Plan,Passive,0.01952325541093297,0.23453079266582133,0.9176352566726217,-0.1792700455189531,-0.029124655247575716,-0.24058648251460885,0.8976673655230768,0.0830750749065559,0.9337918446667837,72
Navi Nifty 50 Index Fund - Direct Plan,Passive,0.2657460329147306,3.2359775831199533,0.8284874224629102,-0.24155178797889865,-0.11271811647166936,-0.12696355773886964,0.8772984514350424,1.3680499942487312,0.17129642768019182,53
Nippon India ETF BSE Sensex,Passive,0.21190565662299876,2.5727148648846176,0.9471283774973662,-0.1648895134347691,-0.10587348467939724,-0.20047060465052796,0.8501684615916845,1.2445584637334217,0.21329409644373254,135
Nippon India ETF Nifty 50 BeES,Passive,-0.6034259060670284,-7.005558673498369,0.9585415111904216,-0.15901621287576595,-0.05454448353869008,-0.24864228581418685,0.21258213996487618,-0.6962527988850105,0.48627052738169607,109
Nippon India Index Fund - Nifty 50 Plan - Direct Plan,Passive,-0.08990818304295288,-1.0735790554724622,1.0046896996118033,-0.1259346067343715,-0.06551524511299817,-0.13645345751192506,0.8279771113306928,-0.45301457244602666,0.6505382482579165,155
Nippon India Index Fund BSE Sensex Plan - Direct Plan,Passive,-0.05978611042901265,-0.7150789300506721,0.9802436458646308,-0.12775202509819553,-0.09403979299777243,-0.14088081104202868,0.7961914155916591,-0.28614105485389063,0.7747700882747983,155
SBI BSE Sensex ETF,Passive,0.10857455342658975,1.3107032345638592,0.9485865510047748,-0.17046658087984237,-0.09489835929932706,-0.15665372946326517,0.8423543245585214,0.6488973154130718,0.5164047500734752,153
SBI Nifty 50 ETF,Passive,0.13226688352792956,1.5988000497794586,0.9478476872147328,-0.1686288171460865,-0.08076110423675248,-0.2181652747103613,0.8800791592683594,0.8196291391060391,0.4124275569941639,125
SBI Nifty Index Fund - Direct Plan,Passive,0.06531826220231825,0.7866411601290757,0.9700656088479227,-0.1704146244147559,-0.06695847435554017,-0.14570062820957566,0.8772322813232165,0.4308279653159553,0.6665934639690807,155
Tata Nifty 50 Exchange Traded Fund,Passive,0.11447604677028855,1.3823947954935356,0.9235335751686248,-0.17165593391237008,-0.03964579387720503,-0.22750980819271033,0.891300770527329,0.5512666849339497,0.5814508727475756,83
Tata Nifty 50 Index Fund - Direct Plan,Passive,0.06962844278461577,0.8387485107675507,0.9610371668076035,-0.17175808162142497,-0.06707259638345119,-0.13905858407998808,0.877717353953533,0.466546323147287,0.6408244980545514,155
UTI BSE Sensex ETF,Passive,0.19867070915334334,2.410272030840943,0.9332637258259271,-0.16298671516550858,-0.11495471433477168,-0.22579712567632956,0.8447219873636878,1.0866315273546625,0.2771996859706126,123
UTI Nifty 50 ETF,Passive,-0.3218761952712512,-3.7948638796750256,0.9635879216944548,-0.0765568734382824,-0.29028756628598146,-0.2915306246248498,0.20736153403158253,-0.6117424816039372,0.5407081504032519,123
UTI Nifty 50 Index Fund - Direct Plan,Passive,0.0808172184666175,0.9741289945230047,0.9687224897838306,-0.17309534295019408,-0.06721761167013002,-0.14658541935807815,0.8768817107479852,0.5335945845008323,0.5936220558387166,155
